State/ Territory1,suburbName,"value1","value2","Tax on taxable income
$","value3","value4","Australian annuities and superannuation income streams taxable component untaxed element
$","Reportable employer superannuation contributions
$","value5","value6","value7","People with private health insurance
no.","Work related travel expenses
$","Total work related self education expenses
$","value8","value9","value10","value11","value12","Net rent3
$"
ACT,CALWELL,18571,1324699900,280040556,24650512,1129774063,71300668,11552079,7739400,4006682,46006197,11789,2147706,1200152,25496989,3191280,14347720,89798134,47768611,-3074745
ACT,CHISHOLM,18571,1324699900,280040556,24650512,1129774063,71300668,11552079,7739400,4006682,46006197,11789,2147706,1200152,25496989,3191280,14347720,89798134,47768611,-3074745
ACT,GILMORE,18571,1324699900,280040556,24650512,1129774063,71300668,11552079,7739400,4006682,46006197,11789,2147706,1200152,25496989,3191280,14347720,89798134,47768611,-3074745
ACT,ISABELLA PLAINS,18571,1324699900,280040556,24650512,1129774063,71300668,11552079,7739400,4006682,46006197,11789,2147706,1200152,25496989,3191280,14347720,89798134,47768611,-3074745
ACT,RICHARDSON,18571,1324699900,280040556,24650512,1129774063,71300668,11552079,7739400,4006682,46006197,11789,2147706,1200152,25496989,3191280,14347720,89798134,47768611,-3074745
ACT,THEORDORE,18571,1324699900,280040556,24650512,1129774063,71300668,11552079,7739400,4006682,46006197,11789,2147706,1200152,25496989,3191280,14347720,89798134,47768611,-3074745

ACT,BANKS,11799,862002781,184173907,16074189,752558468,41876100,7037940,4397287,1578444,30036022,7689,1250933,744167,16699635,1853470,7668698,71718107,30383712,-2810364
ACT,CONDER,11799,862002781,184173907,16074189,752558468,41876100,7037940,4397287,1578444,30036022,7689,1250933,744167,16699635,1853470,7668698,71718107,30383712,-2810364
ACT,GORDON,11799,862002781,184173907,16074189,752558468,41876100,7037940,4397287,1578444,30036022,7689,1250933,744167,16699635,1853470,7668698,71718107,30383712,-2810364

ACT,CRACE,3135,257069021,60218934,4554085,224179101,7437358,1799942,1420893,1194330,10829469,2109,151644,428015,4933431,547781,4240287,23406266,16921314,-3050122
ACT,MITCHELL,3135,257069021,60218934,4554085,224179101,7437358,1799942,1420893,1194330,10829469,2109,151644,428015,4933431,547781,4240287,23406266,16921314,-3050122

ACT,FRANKLIN,5817,377941338,77667140,6064042,337574402,8291383,2319324,1489143,771428,26221468,2891,465376,815113,7985672,689058,4835184,26970245,19978317,-1768361
ACT,GINNINDERRA VILLAGE,25690,1900222389,419115689,34085871,1635608908,66000097,15324654,10959089,6032015,91369582,15870,1697709,2971005,36461456,4346720,31644150,136808313,96274841,-7777914
ACT,NGUNNAWAL,25690,1900222389,419115689,34085871,1635608908,66000097,15324654,10959089,6032015,91369582,15870,1697709,2971005,36461456,4346720,31644150,136808313,96274841,-7777914
ACT,NICHOLLS,25690,1900222389,419115689,34085871,1635608908,66000097,15324654,10959089,6032015,91369582,15870,1697709,2971005,36461456,4346720,31644150,136808313,96274841,-7777914
ACT,PALMERSTON,25690,1900222389,419115689,34085871,1635608908,66000097,15324654,10959089,6032015,91369582,15870,1697709,2971005,36461456,4346720,31644150,136808313,96274841,-7777914

ACT,AMAROO,21423,1649634789,369994571,29052374,1491998662,26723356,11144724,5620387,2923642,77557574,13095,1607897,2933716,33541419,3358196,19395356,104724745,82354899,-12001942
ACT,BONNER,21423,1649634789,369994571,29052374,1491998662,26723356,11144724,5620387,2923642,77557574,13095,1607897,2933716,33541419,3358196,19395356,104724745,82354899,-12001942
ACT,FORDE,21423,1649634789,369994571,29052374,1491998662,26723356,11144724,5620387,2923642,77557574,13095,1607897,2933716,33541419,3358196,19395356,104724745,82354899,-12001942
ACT,HARRISON,172,15008943,3625604,261653,11474451,986125,129737,76451,49138,362115,99,10596,8371,350770,33045,449318,844993,997029,106020


NSW,1240,52,1661828,368498,26404,1095895,0,13676,25000,35566,112386,22,125,0,18400,3132,96671,167047,979493,114262
NSW,1335,53,9322231,3167909,183381,3960070,46533,20980,228128,145025,36158,47,10996,283,61346,54741,1217385,1400314,1329804,8711
NSW,1355,70,8838644,2785611,171893,5862864,23433,90491,100000,126049,112522,48,9582,50,120235,12772,484757,1413519,975493,189096
NSW,1460,55,3912611,790223,61249,3436120,0,41307,0,293,226229,25,3416,990,97051,2361,36535,448748,335951,-12305
NSW,1655,53,3909397,913885,72289,2495244,38963,44620,48500,113688,73015,41,3077,0,80363,15198,288781,586061,351780,190005
NSW,1660,57,4317455,1067837,77826,1781109,21219,15997,65715,238861,90984,44,480,0,34453,9225,160932,1240916,264087,87625
NSW,1710,56,4066569,1027711,73381,3097060,93262,56147,12000,40186,148111,36,533,140,81479,10611,45048,522735,1066646,-21517
NSW,1805,50,2479990,480096,41126,1915401,5409,36901,0,101868,89080,23,2472,3692,35030,56192,13591,750904,619113,-296115
NSW,1871,57,3991908,867074,39532,3177955,27890,54342,0,2599,272156,15,7915,50,116387,15537,3694,362651,333040,22881
NSW,2000,22706,2076802406,611065035,33230915,1326857330,5423110,8263333,12963470,49445588,62762076,9072,3891925,3617379,32646854,24271893,102754720,491242954,132093968,1909699
NSW,2001,384,198736453,85127952,3852026,21376770,281366,171898,258522,435172,493264,159,30124,135526,444704,117151,164442536,5646986,3324120,262338
NSW,2002,62,2513777,488781,37750,1522346,0,2275,45000,31647,226440,19,710,0,33522,4090,415591,395756,1010772,68132
NSW,2006,63,7500421,2321724,140496,5101676,81051,51530,20415,3408,281707,39,0,6990,109462,83246,102355,269097,518374,-70760
NSW,2007,5222,298527868,63326351,4692399,256000684,805720,2078645,1371391,1080588,22963475,2057,635635,930575,7078427,639293,7860172,54518438,20960084,-233770
NSW,2008,6675,434448955,98715472,7429732,363373712,1188377,2873173,2387657,13807457,49770851,3031,655257,1155105,9255621,41948908,11691661,164900576,25570863,-43939
NSW,2009,9039,888423338,247174104,15922054,651230553,3322347,6071299,6869550,12492858,31548822,5524,915331,1329587,14510298,6758352,49905685,213339891,63342950,260815
NSW,2010,18876,1997577651,558388648,36834961,1513057818,5297543,12186232,14965793,15129157,121384623,11575,2954919,3677561,35961954,9826832,100022403,347307104,94678610,3383888
NSW,2011,13007,1604102536,483952899,29824036,1035308825,8758001,9764641,11392619,36037889,77173974,8352,2448655,2175878,25960683,9689292,80265205,258691493,74122921,8960563
NSW,2012,72,7503281,2132832,144575,4202806,177504,18273,104337,290424,209359,54,5474,9328,130678,7862,130492,479925,384965,7945
NSW,2013,55,4941532,1251181,92532,3626417,66405,36942,130129,115018,247363,38,2082,0,156973,13808,4573,502869,364972,14197
NSW,2014,57,6780078,1924314,131983,4387213,0,125801,96825,65356,327365,43,4108,3524,96617,8294,48695,280169,394104,-28211
NSW,2015,8286,807775481,208380109,15155365,678297867,1385448,6192055,4226870,2889995,55364487,5499,1065431,1373109,16713471,3023200,50859745,62002005,36164617,-776598
NSW,2016,8395,758904595,196541821,14061583,595296382,1863408,5421891,5868236,4183744,58471730,4864,1066621,1593547,15118323,2297717,26332446,168019829,37575725,3463221
NSW,2017,19094,1427969046,327852754,24497231,1278127523,1269291,7613830,4882310,4100650,92159470,9926,4423886,4016039,42994256,2359713,23252119,169398549,72470137,-8272049
NSW,2018,12140,848463650,186770243,15076964,727916889,1214007,5535101,2920850,2959026,56372573,6699,2073546,1734472,23568781,1609909,13787536,118088815,59477450,1908854
NSW,2019,8345,648098990,147532552,11939833,568632615,1117149,5347190,2497101,3363109,30305438,5228,1176839,900690,18098498,1255402,10765202,72546486,34020314,-672019
NSW,2020,14884,931566682,193683251,14880976,830819538,1696995,4692130,2673885,2374944,51352229,6640,3019801,2790071,29421350,1872187,11583033,110886445,60126063,-1974362
NSW,2021,10335,1668557025,553557750,31973841,984319948,6277388,7400398,13154891,23366388,69726516,7875,1149030,1435623,18978716,13326710,142066737,214101232,73237965,8813207
NSW,2022,9328,1068988890,317527523,19373402,738212579,3580141,6308515,8450904,12935860,31616944,6183,2101094,1173925,19447732,17585379,78352788,131893570,64843459,11994603
NSW,2023,7108,1555957585,567393524,30441717,622006846,2082464,6032675,14593461,51241876,28961931,5757,894647,620088,11796387,42513007,277473150,302822756,88080898,17289603
NSW,2024,7309,1364624570,475549085,26422610,691547508,3870536,6553087,10231499,26693535,33165998,5571,1036219,771101,14042707,6834823,277819447,146701304,58045310,9531133
NSW,2025,4922,1047797940,379741691,20442208,434776607,4566396,3689561,9208098,54002353,26061113,4008,678581,608358,8636438,10300200,72044912,167566799,48498172,8831916
NSW,2026,23071,3031300529,945814450,55471167,1914830441,4708069,13333898,19337634,31376748,95945814,15206,5754719,3147057,52517258,14363077,487172872,440122208,134137796,21308203
NSW,2027,5682,1241674746,454150787,24151211,465114012,5280865,4179914,9407465,62199017,22895503,4634,606428,633175,8798042,41473942,239309984,144763483,77425555,12846485
NSW,2028,3352,892910183,338633858,17434234,265222454,2170979,2370228,5121117,18415913,16892268,2737,415407,464374,5755343,8762356,410896542,78103755,39128379,9158505
